cluster,rank,term,ctfidf_score,discriminativeness,n_gram
13,14,generated,0.004016769864945037,0.3631452326095947,1
13,15,let,0.0038369967762206373,0.6021960391810753,1
13,16,want,0.0038369967762206373,0.45701113944018695,1
13,17,create,0.0037298577317346772,0.8513686556964828,1
13,18,using,0.003468921867255507,0.6574467960503895,1
13,19,need,0.003435450601964989,0.7431787073273366,1
13,20,data,0.003416972812917627,0.4213576442468624,1
14,1,really,0.02089435048645102,1.3402260561995873,1
14,2,know,0.02024718033864059,0.47711229592796023,1
14,3,yeah,0.015222537495594147,0.5011022216923907,1
14,4,ai,0.013220761590984497,0.19629866624324033,1
14,5,gonna,0.01256166907482821,1.6574079687262384,1
14,6,students,0.010538679804642102,12.422685441236943,1
14,7,lot,0.010107070359926576,1.1231970650514684,1
14,8,actually,0.009568354490771959,1.3311708575905496,1
14,9,ve,0.008133101317156164,0.9250114053640737,1
14,10,tools,0.007846050682433006,0.48627671076180173,1
14,11,maybe,0.007349010207245078,2.0837884617202556,1
14,12,adobe,0.007236217645326241,9.900413641285802,1
14,13,going,0.0072334915321043145,0.4318909927814676,1
14,14,firefly,0.006570184815956669,64.23751356245472,1
14,15,use,0.005932379784278615,1.045764294722587,1
14,16,creative,0.0057410126944631755,0.4694634266627562,1
14,17,say,0.0054539620597400165,0.5513793482079193,1
14,18,doing,0.005449890880352566,1.2675982507168335,1
14,19,kind,0.005449890880352566,0.17571722468513779,1
14,20,art center,0.005385092201173018,4.5308303802704355,2
15,1,mordvintsev,0.01726937133314437,101.24307161253483,1
15,2,neural,0.01715376857915494,2.7358792654533257,1
15,3,deep,0.0162756099006982,2.253530298596514,1
15,4,deep dream,0.015383421400963613,2.241788063540078,2
15,5,dream,0.01283465472612558,2.198171459408675,1
15,6,images,0.012179027816848993,1.4018136792433418,1
15,7,learning,0.012001291526755989,1.0184082375101842,1
15,8,nets,0.01143815503883588,20.550903675891387,1
15,9,google,0.009596001132738655,2.222870001711346,1
15,10,art,0.009521231468697319,0.14911933753822107,1
15,11,image,0.009172712564799299,0.648773275916978,1
15,12,neural nets,0.008746824441462731,15.715396928622825,2
15,13,al,0.008257148988229327,1.4431234760517937,1
15,14,et al,0.008073656788490898,1.4110540654728652,2
15,15,et,0.007819213512090304,1.4431234746391783,1
15,16,2015,0.007057176625205389,2.785219626247997,1
15,17,networks,0.00703706749734168,1.28692474410889,1
15,18,computer,0.006864542951314887,0.3161476604465725,1
15,19,algorithm,0.00677300610915932,1.810051280664129,1
15,20,net,0.006489432164894956,1.9603328081188396,1
16,1,know,0.03852649535479218,0.9078530612829488,1
16,2,art,0.029080810200238883,0.45545696125458024,1
16,3,really,0.013536336205737793,0.6478467062056216,1
16,4,yeah,0.013292731116043151,0.437576001802373,1
16,5,artists,0.013164458837448292,0.6098500174423712,1
16,6,digital,0.010622473381890008,0.6834211549058503,1
16,7,kind,0.008609108496512722,0.27757778737811906,1
16,8,lot,0.008449680561392116,0.8360167859612904,1
16,9,technology,0.008330053049684795,1.1175451292989607,1
16,10,mean,0.00809579150819764,0.7420134902795127,1
16,11,sort,0.008013181390767054,0.1941025098083612,1
16,12,going,0.007891682788469996,0.47118970128070303,1
16,13,gonna,0.007579104931383543,0.603351738204584,1
16,14,ve,0.007466521145241528,0.8491984728102981,1
16,15,artist,0.007437547365789996,0.8747542936941068,1
16,16,digital art,0.006734191755894494,0.6955232916656272,2
16,17,nft,0.00635079289942192,7.43740363775294,1
16,18,say,0.0056191344701302225,0.5680777877983159,1
16,19,space,0.005057532208737197,0.9035772031514062,1
16,20,nfts,0.0050527366209223625,2.35594841061898,1
17,1,ai,0.03913572204656188,0.5810777228934361,1
17,2,art,0.030429854564270567,0.47658538382632964,1
17,3,artists,0.014970837539641133,0.6935313974855908,1
17,4,digital,0.013388817424614953,0.8614002349729466,1
17,5,creative,0.010694212659912572,0.8745045496284589,1
17,6,human,0.010357387064324776,0.5670332798415847,1
