hidden_layer_sizes,alpha,lr,n_params,r2_train,r2_val,cv_r2_mean,cv_r2_std,knn_preservation_k15,cluster_agreement,cluster_ari,min_cluster_r2,mean_cluster_r2,max_mae_dim,n_iter,composite,min_cluster_r2_clipped,composite_fixed
"(256,)",0.0001,0.001,263685,0.94193,0.47184,0.38043,0.13753,0.17957,0.3295,0.13449,-251500768.0,-14801928.59465,3.91053,30,,0.0,0.4465703250020163
"(256,)",0.01,0.001,263685,0.94195,0.47506,0.4737,0.19251,0.18059,0.33333,0.13779,-260080336.0,-15306305.67276,3.92052,75,,0.0,0.43660829230900194
"(256,)",0.001,0.0005,263685,0.93917,0.4463,0.35134,0.14185,0.17114,0.33333,0.14009,-264348032.0,-15558277.90327,3.98146,42,,0.0,0.4285611581072881
"(256,)",1e-06,0.0005,263685,0.93916,0.44625,0.35125,0.14183,0.17114,0.33333,0.14009,-264245856.0,-15552268.21353,3.98218,42,,0.0,0.4285429368334119
"(256,)",0.0001,0.0005,263685,0.93916,0.44625,0.35125,0.14183,0.17114,0.33333,0.14009,-264245408.0,-15552241.76211,3.98215,42,,0.0,0.4285429368334119
"(256,)",1e-05,0.0005,263685,0.93916,0.44625,0.35124,0.14183,0.17114,0.33333,0.14009,-264245376.0,-15552239.97491,3.98217,42,,0.0,0.42854181309901773
"(256,)",0.01,0.0001,263685,0.93719,0.42889,0.33598,0.1451,0.16909,0.341,0.13798,-270544128.0,-15922995.46931,4.04164,134,,0.0,0.420428843835047
"(256,)",0.001,0.0001,263685,0.93703,0.42809,0.33458,0.14546,0.16858,0.341,0.13706,-271062880.0,-15953526.25142,4.04615,125,,0.0,0.4195223995417097
"(256,)",0.0001,0.0001,263685,0.93685,0.42767,0.33447,0.14549,0.16807,0.341,0.13706,-270709600.0,-15932765.584,4.04705,117,,0.0,0.41902596226205574
"(256,)",1e-06,0.0001,263685,0.93685,0.42765,0.33464,0.14545,0.16833,0.33716,0.13595,-270663392.0,-15930047.61701,4.04706,117,,0.0,0.4181915600867241
"(256,)",1e-05,0.0001,263685,0.93685,0.42765,0.33446,0.14549,0.16833,0.33716,0.13595,-270678848.0,-15930957.0945,4.04706,117,,0.0,0.41815445095659715
"(128,)",1e-06,0.001,131845,0.94434,0.41619,0.34416,0.14992,0.16475,0.31034,0.11017,-212241536.0,-12491069.44405,4.12725,38,,0.0,0.40403202859622694
"(128,)",1e-05,0.001,131845,0.94434,0.41619,0.34416,0.14992,0.16475,0.31034,0.11017,-212240736.0,-12491022.36964,4.12725,38,,0.0,0.40403202859622694
"(128,)",0.0001,0.001,131845,0.94434,0.4162,0.34416,0.14993,0.16475,0.31034,0.11017,-212239744.0,-12490963.94355,4.12722,38,,0.0,0.4040311178424379
"(128,)",0.001,0.001,131845,0.94437,0.41617,0.34418,0.14994,0.1645,0.31034,0.10899,-213366576.0,-12557252.82228,4.12773,38,,0.0,0.4038562713667839
