n_neighbors,min_dist,n_components,n_seeds,trustworthiness_consensus,trustworthiness_mean_seeds,best_k,best_silhouette,best_ari_seed_consensus,best_min_cluster_size
53,0.01,5,30,0.9216894451089965,0.9405793128301009,20,0.684928297996521,0.699432327232286,10
53,0.01,8,30,0.9198984047854877,0.9413022423866111,20,0.663227915763855,0.6556593436531118,10
53,0.01,6,30,0.9191280586373186,0.9410641939539336,20,0.6611878871917725,0.7148331770324579,10
53,0.03,4,30,0.9166687259990378,0.9357389459676455,20,0.6397730112075806,0.702240134858081,10
53,0.03,5,30,0.9217884934302845,0.9411402059525317,20,0.6437491178512573,0.717160881251417,10
53,0.03,8,30,0.920264097688494,0.9419871718806365,20,0.644331693649292,0.6978853498690563,10
53,0.03,6,30,0.91999079645403,0.9416553588911695,20,0.6482054591178894,0.6836335326200046,10
53,0.05,4,30,0.9151652352636959,0.9358952741550224,35,0.6244940757751465,0.7018738786865083,10
53,0.05,5,30,0.9215204240131958,0.9416356842894312,20,0.6466251611709595,0.6750588258169391,10
53,0.05,8,30,0.9205326346296886,0.9426506791232899,20,0.629579484462738,0.7048723104517135,10
53,0.05,6,30,0.9204637972708615,0.9421926509514746,20,0.6316223740577698,0.691245988187152,10
